NFCSID,A1(筛选value=1,A3,B2_1（整理所有B_2）,B2_2,B2_3,B2_4,B2_5,B2_7,B2_20,B2_21,B2_23,B2_24,B2_25,B30,B4,B10,C22_3,C24,D2,D21,D30,G1,G30_1,G30_2,G30_3,G7,S_Income
2021010376,1,1,1,2,1,2,1,2,2,2,2,2,2,5,8,4,1,1,2,98,3,2,1,2,1,98,2
2021010384,1,1,1,1,1,2,1,2,2,2,2,2,2,5,7,3,2,2,2,1,3,9,2,3,2,1,2
2021010385,1,1,1,2,1,1,98,2,2,98,2,2,98,5,1,3,1,98,98,1,1,1,2,3,2,1,1
2021010395,1,1,1,2,2,2,2,2,2,2,2,2,2,5,6,3,2,99,98,98,98,7,2,2,2,1,1
2021010404,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,1,1,3,3,3,4,2,2,2,1,1
2021010407,1,1,1,2,1,1,2,2,2,1,2,1,2,4,8,2,3,4,3,3,3,8,3,3,3,1,2
2021010408,1,1,1,1,1,1,2,2,2,2,2,2,2,5,7,3,3,98,98,3,3,8,1,3,1,1,1
2021010417,1,1,2,2,1,2,2,2,2,2,2,2,2,5,6,3,2,2,6,1,3,7,1,3,1,2,3
2021010419,1,1,1,2,1,1,2,2,2,2,2,2,2,5,8,3,3,98,4,3,3,6,1,3,1,1,2
2021010422,1,1,1,2,1,2,2,2,2,2,2,2,2,4,9,4,3,3,3,3,3,8,1,3,1,98,3
2021010424,1,1,1,1,2,1,2,2,1,2,2,2,2,5,10,2,2,4,3,98,98,9,2,3,1,1,3
2021010427,1,1,1,2,1,2,2,2,1,2,2,2,2,5,10,3,1,3,3,1,3,7,1,3,1,1,3
2021010428,1,1,2,2,1,2,2,2,2,2,2,2,2,4,7,3,3,3,3,1,3,8,1,3,1,1,3
2021010433,1,1,2,2,1,2,2,2,1,2,2,2,2,5,8,3,2,2,3,3,3,9,2,3,1,1,2
2021010434,1,1,1,2,1,1,2,2,2,2,1,2,2,3,6,2,3,1,3,1,1,8,3,3,2,1,2
2021010450,1,1,1,1,2,2,2,2,1,2,2,98,2,4,7,2,3,5,3,2,2,10,3,3,2,1,2
2021010455,1,1,1,2,1,2,2,2,1,2,2,2,2,1,7,1,3,2,3,1,2,7,3,3,98,2,3
2021010477,1,1,2,2,2,1,2,2,2,2,2,2,2,3,9,2,1,4,3,1,3,5,1,3,1,2,3
2021010494,1,1,1,1,2,1,98,98,2,98,2,98,98,2,2,2,1,98,98,1,3,5,2,2,2,98,2
2021010536,1,1,1,2,2,2,2,2,2,2,2,2,2,4,6,2,3,1,3,1,3,10,3,3,1,1,2
2021010561,1,1,1,2,2,1,2,2,2,2,2,2,2,5,7,1,3,4,6,1,3,8,2,3,1,1,1
2021010563,1,1,1,1,2,2,2,2,1,98,2,2,98,3,9,3,3,98,3,3,1,8,3,3,98,1,3
2021010572,1,1,1,2,2,98,2,98,98,1,98,2,2,5,10,3,3,98,98,98,3,7,1,3,1,98,3
2021010574,1,1,1,2,2,1,2,2,2,1,2,2,2,3,2,2,1,1,6,1,3,9,2,3,2,1,2
2021010593,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,3,3,8,1,3,2,98,3
2021010597,1,1,2,2,1,1,2,2,98,2,2,2,2,5,10,2,3,3,3,1,98,10,3,3,1,1,3
2021010600,1,1,1,2,1,2,1,1,2,2,1,1,2,5,6,1,2,4,3,3,1,10,1,3,2,1,2
2021010601,1,1,1,2,2,2,2,2,1,2,2,2,2,1,3,3,2,6,4,1,1,8,2,2,3,2,1
2021010607,1,1,2,2,1,2,1,2,2,2,2,2,2,5,7,2,2,1,2,1,3,7,3,3,2,1,1
2021010615,1,1,1,2,98,2,2,2,98,2,2,2,2,1,1,3,2,98,98,1,2,3,3,3,1,1,1
2021010638,1,1,1,2,2,1,2,2,1,2,2,2,2,2,4,3,3,1,3,3,3,4,2,3,1,98,1
2021010650,1,1,1,2,2,1,2,2,2,1,2,2,2,4,8,3,3,1,4,1,3,9,2,3,1,2,3
2021010655,1,1,1,2,2,1,2,98,2,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,2
2021010681,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,2,6,4,1,1,8,3,3,3,1,2
2021010684,1,1,1,2,2,2,2,2,2,2,1,2,2,3,1,1,3,1,4,1,1,8,1,3,1,98,1
2021010689,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,3,3,3,5,1,2,7,1,3,2,2,1
2021010697,1,1,1,2,2,1,2,2,2,1,2,2,2,5,10,2,3,4,4,2,3,8,2,3,2,1,3
2021010700,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,98,1,2,7,3,3,3,1,2
2021010718,1,1,1,1,1,1,2,1,2,2,2,2,2,3,6,2,3,4,3,3,3,6,2,3,98,1,2
2021010738,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,3,1,1,4,3,2,8,2,3,3,1,1
2021010765,1,1,98,1,1,98,98,98,2,2,1,98,2,4,3,2,3,4,5,3,1,10,3,3,3,1,1
2021010778,1,1,1,2,1,1,2,1,2,1,2,2,2,5,8,2,3,2,3,1,2,8,3,2,1,2,2
2021010780,1,1,1,2,1,1,2,2,2,1,2,2,2,5,10,2,2,1,4,1,3,9,2,3,1,1,3
2021010789,1,1,1,1,1,1,1,2,1,2,2,2,2,2,6,3,2,3,3,1,1,10,2,3,2,1,2
2021010791,1,1,2,2,1,2,1,2,2,2,2,2,2,5,8,3,1,98,98,3,3,5,1,3,1,1,2
2021010800,1,1,1,2,2,1,2,2,2,2,2,2,2,2,6,3,2,1,98,98,98,8,3,3,1,98,2
2021010813,1,1,2,2,1,2,2,2,2,2,2,2,2,5,7,2,1,98,4,1,3,6,1,3,1,1,3
2021010822,1,1,1,2,2,2,2,2,2,2,2,2,2,3,5,1,3,98,4,98,2,7,2,3,1,1,2
2021010825,1,1,2,2,1,2,2,2,2,2,2,2,2,5,10,1,3,4,3,1,3,9,2,3,1,1,3
2021010832,1,1,1,1,1,2,2,1,2,2,2,2,2,3,6,2,1,3,4,3,3,6,2,3,1,1,3
2021010861,1,1,1,2,2,2,2,2,2,2,2,2,2,1,7,1,3,2,2,1,2,8,1,2,2,1,3
2021010862,1,1,1,1,1,1,2,2,2,2,2,2,2,3,5,3,1,2,98,2,3,2,1,3,1,1,1
2021010875,1,1,1,2,2,2,2,1,2,2,2,2,2,3,2,3,2,2,4,1,3,9,2,3,1,2,3
2021010881,1,1,1,2,2,2,2,2,1,2,2,2,2,3,1,3,2,4,98,3,2,3,1,3,98,98,2
2021010896,1,1,1,2,1,1,2,2,2,2,2,2,2,3,7,3,2,5,2,1,3,7,3,3,1,2,3
2021010898,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,2,3,1,2,1,2,3,3,3,2,2,3
2021010900,1,1,1,2,2,98,2,2,1,2,1,2,2,3,1,3,3,2,98,3,3,6,2,2,1,1,1
2021010907,1,1,1,2,1,1,2,1,1,2,1,2,1,4,9,1,3,3,4,2,2,10,3,3,3,1,3
2021010909,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,98,3,3,8,98,98,98,98,2
2021010948,1,1,1,1,1,1,2,2,2,2,2,2,2,5,7,2,3,3,4,1,2,9,3,3,1,1,3
2021010950,1,1,1,2,2,2,2,2,1,2,2,2,2,5,7,2,1,1,4,1,1,10,3,3,1,1,1
2021010961,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,3,2,4,1,3,3,7,1,3,2,1,1
2021010969,1,1,1,2,1,1,2,2,2,2,2,2,2,4,7,3,2,3,3,1,2,6,1,3,1,1,3
