NFCSID,A1(筛选value=1,A3,B2_1（整理所有B_2）,B2_2,B2_3,B2_4,B2_5,B2_7,B2_20,B2_21,B2_23,B2_24,B2_25,B30,B4,B10,C22_3,C24,D2,D21,D30,G1,G30_1,G30_2,G30_3,G7,S_Income
2021012528,1,1,1,2,1,1,2,2,2,1,2,2,2,4,6,3,2,4,4,1,3,8,2,3,1,98,2
2021012539,1,1,1,2,98,1,2,2,1,2,1,98,1,2,1,1,2,5,4,2,1,8,2,2,2,2,1
2021012556,1,1,1,2,98,1,1,1,2,1,1,2,1,2,7,1,2,6,4,1,2,10,3,3,3,1,3
2021012573,1,1,2,1,2,2,2,98,2,2,2,2,2,5,10,4,1,2,3,3,3,8,3,3,1,1,3
2021012588,1,1,98,1,1,2,2,1,1,2,2,1,1,2,7,4,2,4,2,98,2,7,2,3,2,99,1
2021012630,1,1,1,2,1,98,1,2,1,2,2,2,2,5,8,3,1,5,5,3,3,7,1,3,1,2,2
2021012637,1,1,2,1,1,1,2,1,1,2,1,1,1,2,6,1,2,4,2,1,1,10,3,2,3,1,2
2021012648,1,1,1,1,1,1,2,2,2,2,2,2,2,4,7,1,3,5,6,2,2,9,2,2,3,1,3
2021012649,1,1,1,1,1,1,2,2,2,2,2,2,2,4,7,1,3,4,4,2,2,10,3,3,2,1,3
2021012651,1,1,2,1,1,2,1,2,1,2,2,2,1,5,10,4,1,4,4,3,3,10,1,1,1,1,3
2021012652,1,1,2,2,1,2,2,2,1,2,2,2,2,4,7,3,3,2,3,1,3,7,2,3,1,1,3
2021012663,1,1,2,2,1,2,2,2,2,2,2,2,2,5,7,2,3,3,3,3,3,9,1,3,1,1,3
2021012687,1,1,1,1,1,2,1,2,1,2,2,2,2,5,9,3,2,4,3,3,3,9,1,2,1,1,3
2021012701,1,1,1,2,2,1,2,2,2,2,1,2,2,3,1,3,1,1,3,1,3,6,1,3,1,1,2
2021012706,1,1,2,2,1,1,2,2,2,2,2,2,2,5,7,3,1,6,98,98,98,6,1,3,1,1,1
2021012707,1,1,1,2,1,1,1,2,1,2,2,2,1,5,7,2,3,4,3,1,1,7,2,3,2,2,2
2021012720,1,1,1,2,2,2,2,2,2,1,2,2,2,5,10,1,3,1,3,3,3,7,2,3,1,1,3
2021012759,1,1,1,2,1,98,2,2,2,2,2,2,2,4,6,3,1,98,98,3,98,3,1,2,1,1,2
2021012764,1,1,1,2,2,1,2,2,2,2,2,2,2,5,4,2,3,2,3,98,2,8,3,2,2,1,1
2021012783,1,1,2,2,1,2,2,2,2,2,2,2,2,2,4,2,3,2,98,3,3,6,1,3,1,2,2
2021012784,1,1,1,2,1,1,2,2,2,2,2,2,2,5,10,2,3,2,3,1,2,9,3,2,1,1,3
2021012829,1,1,1,1,1,1,1,1,1,98,98,98,98,3,5,1,2,4,3,2,2,8,3,3,3,1,2
2021012832,1,1,1,2,2,2,2,2,1,2,2,2,2,1,5,1,2,1,98,2,1,8,3,2,2,2,1
2021012842,1,1,2,1,1,2,1,2,1,2,2,2,2,5,6,2,1,99,3,3,3,7,1,3,1,1,3
2021012861,1,1,2,2,1,2,2,2,1,2,2,2,2,5,1,3,2,1,98,3,3,7,2,3,1,1,2
2021012873,1,1,1,2,1,2,2,2,1,2,2,2,2,5,7,3,1,2,4,3,3,5,2,3,1,98,1
2021012892,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,3,1,3,8,3,3,1,1,1
2021012903,1,1,1,2,2,2,2,2,2,2,2,2,2,3,1,3,3,4,98,3,3,10,3,3,2,1,1
2021012917,1,1,2,1,2,2,2,2,2,2,2,2,2,5,8,4,1,1,3,3,3,7,1,3,1,2,2
2021012919,1,1,1,98,1,98,1,1,2,98,2,2,2,4,8,3,1,3,3,3,3,7,2,3,2,98,2
2021012921,1,1,1,2,1,2,2,2,2,2,2,2,2,5,8,1,3,1,98,3,2,7,3,3,2,2,2
2021012924,1,1,1,1,1,2,1,2,1,2,2,2,1,3,6,2,2,3,4,2,2,5,3,98,1,2,2
2021012933,1,1,1,1,1,98,1,2,2,1,2,2,2,5,8,3,3,5,3,1,98,9,2,2,2,1,2
2021012948,1,1,2,2,1,2,2,2,2,2,2,2,2,5,8,3,3,98,2,1,3,6,1,3,1,1,3
2021012957,1,1,1,2,2,2,2,2,2,2,2,2,2,5,5,2,3,1,3,3,2,8,2,2,1,1,2
2021012958,1,1,1,2,1,1,2,2,2,1,1,2,2,5,8,2,3,1,4,1,3,8,2,3,1,2,2
2021012959,1,1,1,1,1,1,1,2,2,1,2,2,2,5,10,3,3,1,3,3,2,10,3,3,1,2,3
2021012961,1,1,1,1,1,2,1,1,2,2,98,2,2,5,10,2,2,2,3,3,3,4,2,2,1,1,2
2021012972,1,1,1,2,1,2,2,2,2,2,2,2,2,5,8,2,3,1,3,3,2,8,1,3,2,1,3
2021012974,1,1,2,2,1,1,1,1,1,2,2,1,1,5,7,1,99,3,5,1,2,9,3,1,3,2,3
2021012975,1,1,1,2,2,2,2,2,1,2,2,2,2,5,10,3,3,2,3,3,2,8,2,3,1,1,3
2021012979,1,1,1,2,2,2,2,2,2,2,2,2,2,5,1,3,3,1,5,3,3,8,1,3,1,1,2
2021012987,1,1,1,2,2,1,2,1,2,2,2,2,2,4,6,2,3,3,4,1,3,9,2,2,1,1,3
2021012995,1,1,1,2,1,1,1,2,2,2,2,2,2,5,10,2,3,4,4,1,3,8,2,3,2,2,3
2021012997,1,1,1,2,1,1,2,2,2,2,2,2,2,5,6,2,2,98,2,1,3,7,2,3,1,1,3
2021013002,1,1,1,1,1,1,2,2,1,1,2,2,2,5,7,3,2,98,4,99,98,9,3,3,2,1,2
2021013011,1,1,1,98,1,1,2,98,1,1,2,98,98,3,4,2,3,98,98,98,98,6,2,3,99,1,2
2021013013,1,1,1,2,2,1,1,2,2,2,2,2,2,3,5,2,3,1,3,1,3,8,3,3,2,1,2
2021013027,1,1,1,2,1,2,2,2,2,2,2,2,2,4,7,2,3,5,2,3,3,8,3,3,1,1,2
2021013034,1,1,1,2,2,2,1,2,2,2,1,2,2,2,3,3,3,3,2,1,98,7,3,2,2,1,1
2021013039,1,1,1,2,1,2,1,2,1,2,2,2,2,5,10,3,3,3,3,3,2,10,3,3,2,1,3
2021013042,1,1,1,2,1,1,2,2,2,2,2,2,2,2,7,3,1,2,4,3,3,8,2,3,1,2,2
2021013048,1,1,1,2,2,1,2,2,1,2,2,2,2,5,7,3,3,1,4,1,1,8,2,3,3,1,3
2021013049,1,1,1,2,1,1,1,2,1,2,2,2,2,5,9,3,2,3,2,3,2,8,3,3,1,2,3
2021013057,1,1,1,2,1,1,2,2,1,1,2,2,2,3,8,3,3,2,2,1,2,7,3,3,1,1,3
2021013074,1,1,1,2,1,2,2,2,2,2,2,2,2,5,8,2,1,4,3,3,1,10,2,3,1,1,2
2021013076,1,1,1,2,1,2,2,2,2,2,2,2,2,5,10,2,3,1,3,2,3,8,2,3,1,1,3
2021013082,1,1,2,2,1,1,2,2,2,2,2,2,2,5,8,3,2,4,3,2,3,8,2,3,1,1,2
2021013086,1,1,1,2,1,98,2,2,2,2,2,2,2,4,4,4,2,1,2,3,1,7,1,2,3,1,2
2021013092,1,1,1,2,2,2,2,2,2,2,1,2,2,4,6,3,2,2,3,3,2,5,2,3,1,1,3
2021013097,1,1,1,2,1,1,1,2,2,2,2,2,2,4,7,3,3,4,4,1,2,8,3,3,1,1,3
2021013113,1,1,2,2,1,2,2,2,2,2,2,2,2,5,5,3,2,98,2,3,1,1,2,2,1,1,3
2021013127,1,1,2,2,1,2,2,2,2,2,2,2,2,5,7,3,3,4,5,3,3,7,1,3,1,1,3
2021013128,1,1,1,1,1,1,1,1,1,2,1,1,1,3,8,2,3,5,4,1,2,9,2,3,3,1,3
2021013129,1,1,1,2,2,2,2,2,2,2,2,2,2,5,5,3,3,1,3,1,3,7,2,3,2,1,1
2021013159,1,1,1,2,1,2,2,2,1,2,2,2,2,5,7,3,2,2,3,1,3,7,3,3,1,1,3
2021013208,1,1,2,2,1,2,2,2,1,2,2,2,2,5,8,2,2,99,98,3,3,8,2,3,2,1,3
2021013228,1,1,1,1,1,1,1,2,1,1,1,2,1,5,10,3,3,3,3,1,2,9,2,3,1,1,3
2021013229,1,1,2,2,1,2,2,2,98,2,2,2,2,4,4,2,3,2,2,98,98,2,1,3,98,1,2
2021013237,1,1,1,2,1,1,1,2,2,2,2,2,2,5,10,3,3,1,2,1,2,8,2,2,1,1,3
2021013239,1,1,1,1,2,2,2,2,2,1,2,2,2,5,10,3,3,1,2,1,2,9,2,2,1,1,1
2021013253,1,1,1,1,1,2,1,2,1,2,2,2,2,5,9,2,1,98,98,1,3,7,2,3,1,1,2
2021013287,1,1,2,2,1,2,2,2,1,98,2,2,98,2,2,2,3,98,98,98,2,2,2,3,1,1,3
2021013294,1,1,2,2,1,2,2,2,1,2,2,2,2,4,4,2,3,3,3,1,3,7,2,3,1,1,2
2021013295,1,1,1,2,1,2,2,2,2,2,2,2,2,5,6,1,3,1,6,1,3,10,3,3,1,2,2
2021013298,1,1,1,2,1,2,2,2,2,2,2,2,2,5,1,3,3,2,4,1,2,7,1,3,1,1,3
2021013319,1,1,1,2,2,2,2,2,1,2,2,2,2,5,8,2,1,1,2,3,3,7,2,3,1,2,3
2021013326,1,1,1,2,1,1,2,2,2,2,1,2,1,5,5,1,3,1,6,1,3,8,2,3,3,2,2
2021013351,1,1,1,1,1,1,2,98,2,1,1,2,98,5,9,2,3,2,3,3,1,7,2,3,2,1,3
2021013360,1,1,1,1,1,1,2,2,2,1,2,2,2,5,10,3,3,2,3,3,3,9,2,3,1,1,2
2021013377,1,1,1,2,2,2,2,2,2,2,2,2,2,5,9,3,1,2,3,1,3,7,3,3,3,1,3
2021013378,1,1,1,2,2,2,2,2,2,2,2,2,2,5,6,3,2,1,3,3,3,10,2,3,1,98,2
2021013381,1,1,1,2,2,2,2,2,2,2,2,2,2,4,8,2,1,3,98,3,3,6,1,3,1,1,2
2021013395,1,1,1,1,2,2,1,2,2,1,2,2,2,5,10,3,1,5,3,98,3,5,1,2,1,1,3
2021013402,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,3,2,3,2,3,3,2,2,2,1,2
2021013433,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,3,3,2,7,1,3,2,1,1
2021013446,1,1,1,1,1,1,2,2,2,2,2,2,2,4,6,2,2,3,5,3,3,9,3,3,1,1,2
2021013454,1,1,1,1,1,2,2,2,2,2,2,2,2,4,6,3,2,4,3,2,2,8,2,3,1,1,2
2021013465,1,1,2,2,1,2,1,2,2,2,2,2,2,5,6,3,1,3,98,98,98,4,1,3,1,1,2
2021013486,1,1,1,2,2,98,2,2,2,2,1,2,2,2,1,3,2,2,3,3,1,2,1,3,2,1,1
2021013488,1,1,2,1,2,2,2,2,2,2,2,2,2,5,9,2,1,1,98,98,98,8,98,2,1,98,1
2021013490,1,1,2,2,1,2,1,2,1,2,2,2,2,5,8,1,3,3,3,1,3,10,2,3,1,2,3
2021013498,1,1,1,2,1,98,1,2,1,2,2,2,2,5,7,3,1,98,98,3,3,6,1,3,1,1,1
2021013500,1,1,1,1,1,2,2,2,1,2,2,2,2,5,9,3,1,2,4,1,3,8,2,3,1,1,2
2021013503,1,1,1,1,1,98,1,1,2,98,1,2,98,5,5,3,2,2,3,3,3,7,2,3,2,2,3
2021013515,1,1,1,2,2,2,1,2,1,2,2,2,2,5,6,3,1,3,3,3,3,6,2,3,1,1,1
2021013518,1,1,1,1,1,1,2,2,2,2,2,2,2,3,6,3,1,2,3,1,3,8,2,3,1,1,2
2021013522,1,1,1,1,1,1,1,1,2,2,2,2,2,4,7,1,3,5,5,1,2,7,1,2,3,1,3
2021013527,1,1,1,1,1,1,1,1,1,2,98,1,98,4,6,1,2,4,5,2,1,10,3,3,2,1,2
2021013530,1,1,2,2,1,2,2,2,2,2,2,2,2,5,8,3,2,3,4,1,3,8,2,3,1,1,3
2021013534,1,1,2,1,1,2,1,2,2,98,2,98,1,5,5,3,1,98,98,3,3,7,2,2,1,1,2
2021013547,1,1,1,1,1,2,2,2,1,2,1,2,2,5,9,3,1,3,3,3,3,7,1,3,1,2,3
2021013553,1,1,2,2,1,2,2,2,2,2,2,2,2,3,8,3,2,1,98,3,3,1,1,3,1,98,1
2021013558,1,1,2,2,2,1,2,2,1,2,2,2,2,5,7,2,3,2,3,3,3,9,1,3,1,1,1
2021013559,1,1,1,2,1,2,2,2,2,2,2,2,2,5,8,3,3,2,3,3,2,8,2,3,1,1,3
2021013571,1,1,1,2,1,2,2,2,2,2,2,2,2,5,7,2,3,2,4,3,3,5,2,3,1,1,2
2021013573,1,1,2,2,1,98,1,2,2,98,2,98,98,5,8,2,1,3,98,3,3,7,2,3,1,1,2
2021013578,1,1,1,2,1,2,1,2,1,2,2,2,2,5,7,3,1,2,98,98,98,2,2,2,1,1,1
2021013593,1,1,1,2,2,2,1,2,2,2,1,2,2,5,9,1,3,1,4,3,98,6,2,3,1,1,3
2021013601,1,1,2,98,1,2,1,2,2,2,2,2,2,5,7,4,1,98,4,1,3,2,3,3,1,1,1
2021013606,1,1,1,1,1,1,2,2,1,1,1,2,2,4,9,2,3,2,3,1,2,7,2,3,2,98,3
2021013617,1,1,1,2,1,2,2,2,2,2,2,2,2,5,10,2,1,4,4,3,3,9,3,3,1,1,2
2021013638,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,3,1,2,3,1,3,7,1,3,1,2,1
2021013659,1,1,1,1,1,2,2,2,1,2,2,2,2,4,6,3,2,4,4,1,2,5,2,3,1,1,2
2021013663,1,1,2,2,1,2,1,2,2,2,2,2,2,5,8,3,2,2,3,1,2,7,3,3,1,1,2
2021013673,1,1,2,1,1,2,1,2,1,2,2,2,2,5,7,3,1,3,6,3,3,7,1,3,1,1,1
2021013676,1,1,1,2,1,2,2,2,1,2,2,2,2,5,3,2,3,1,3,3,3,10,3,3,1,1,2
2021013679,1,1,1,2,1,1,2,2,2,2,2,2,2,5,7,2,3,2,4,1,1,8,2,2,2,1,2
2021013681,1,1,1,2,2,1,2,2,2,2,98,2,2,1,3,3,3,98,98,98,98,6,3,3,3,98,3
2021013689,1,1,1,2,2,1,2,2,2,2,2,2,2,4,6,2,3,2,2,1,3,8,1,3,1,1,3
2021013697,1,1,1,2,1,1,2,2,2,2,2,2,2,5,8,3,3,1,3,1,3,10,1,3,1,98,2
2021013704,1,1,1,2,1,2,2,2,1,2,2,2,2,5,7,3,2,2,98,3,2,8,2,3,2,1,3
2021013709,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,3,3,2,4,2,3,7,3,3,2,1,2
2021013714,1,1,99,2,99,2,2,2,2,1,2,2,2,5,6,3,3,2,3,3,3,8,2,3,1,1,2
2021013716,1,1,98,98,1,98,1,98,2,2,2,2,2,5,10,3,1,98,98,98,98,5,1,3,1,2,2
2021013725,1,1,2,2,1,1,2,2,2,2,2,2,2,5,8,2,3,3,3,3,3,8,1,2,1,1,2
2021013729,1,1,2,2,1,2,2,2,2,2,2,2,2,5,9,3,1,2,4,3,3,9,2,3,1,98,3
2021013737,1,1,2,2,1,1,1,2,1,2,2,2,2,5,7,3,1,4,1,3,3,8,2,3,1,1,1
2021013739,1,1,1,1,1,2,2,2,2,1,2,2,2,5,10,2,2,3,98,1,2,7,2,3,1,1,3
2021013741,1,1,1,2,1,1,2,1,1,2,2,2,2,5,9,3,1,6,3,98,2,9,3,3,98,1,3
2021013753,1,1,2,2,1,2,1,2,1,2,2,2,2,5,9,4,2,2,2,3,3,7,2,3,1,1,2
2021013766,1,1,1,2,1,2,2,2,2,2,2,2,2,4,7,3,3,2,4,1,98,6,2,3,1,2,1
2021013774,1,1,1,2,1,2,2,2,98,2,2,2,2,5,5,2,3,3,4,3,3,10,1,3,1,2,1
2021013790,1,1,1,2,2,2,2,2,1,2,2,2,2,5,4,3,1,98,2,3,3,8,2,3,1,1,2
2021013802,1,1,1,2,1,1,2,2,1,2,2,2,2,5,99,2,3,1,3,1,3,9,2,2,1,1,3
2021013814,1,1,1,2,1,1,2,2,2,1,98,2,2,5,7,3,3,4,4,1,3,7,1,3,1,98,3
2021013819,1,1,2,2,1,2,1,2,1,2,2,2,2,2,9,2,2,5,4,3,3,8,2,3,1,1,3
2021013823,1,1,1,1,1,1,1,2,2,2,2,2,2,5,10,3,3,1,3,1,3,10,2,3,2,98,3
2021013835,1,1,1,2,1,1,2,2,1,2,2,2,2,5,7,3,3,98,4,98,98,4,98,3,98,1,3
2021013837,1,1,2,2,1,2,1,2,1,2,2,2,2,5,5,3,2,3,2,3,98,5,2,3,1,2,1
2021013857,1,1,1,2,2,2,1,2,2,98,2,2,2,5,99,4,2,98,98,3,3,1,1,1,1,98,2
2021013861,1,1,1,2,2,2,1,2,2,2,2,2,2,5,4,3,1,1,2,98,98,3,2,3,1,1,2
2021013869,1,1,1,2,2,2,1,2,2,2,2,2,2,5,9,3,1,4,3,1,2,10,3,3,1,2,3
2021013874,1,1,2,2,1,2,2,2,2,2,2,2,2,3,3,3,1,2,3,3,3,9,1,3,1,1,2
2021013899,1,1,1,2,1,1,2,2,2,1,2,2,2,5,10,3,3,3,3,1,3,10,1,3,1,1,3
2021013912,1,1,1,1,2,2,2,2,2,2,2,2,2,5,8,3,1,1,3,3,98,5,2,3,1,2,2
2021013917,1,1,1,1,1,1,2,2,2,2,2,2,2,5,9,2,2,99,4,98,98,8,3,3,2,1,1
2021013939,1,1,1,2,2,2,2,2,2,2,2,2,2,5,6,3,1,1,2,3,3,5,1,3,1,1,2
2021013955,1,1,1,2,1,1,2,2,1,2,98,2,2,5,8,3,3,98,98,98,98,5,1,3,1,98,3
2021014030,1,1,1,2,1,2,2,2,2,1,2,2,2,5,10,1,3,2,3,3,2,9,3,3,1,1,3
2021014031,1,1,1,1,1,1,1,2,2,2,2,2,2,4,6,2,3,4,3,98,98,8,3,3,2,1,2
2021014034,1,1,1,2,2,2,2,2,2,2,2,2,2,5,98,3,1,1,2,1,2,3,2,3,1,1,1
2021014038,1,1,1,2,1,1,2,2,1,2,2,2,2,4,99,2,2,98,6,1,3,5,1,2,1,1,2
2021014042,1,1,1,2,2,1,1,2,1,2,2,2,98,5,5,98,3,2,6,1,1,8,3,98,3,2,2
2021014045,1,1,1,2,1,1,1,98,98,2,2,2,98,5,9,3,1,2,4,98,3,2,2,3,1,1,3
2021014048,1,1,2,2,1,2,2,2,1,2,2,2,2,4,7,3,3,1,4,3,3,7,3,2,1,1,2
2021014057,1,1,1,2,2,2,1,2,2,2,2,2,2,3,3,3,2,98,98,1,2,9,3,3,2,1,3
2021014073,1,1,1,2,2,2,2,2,2,2,2,2,2,5,10,1,3,1,3,1,2,10,2,3,1,1,3
2021014074,1,1,1,2,1,1,2,2,2,2,2,2,2,5,10,1,3,1,3,1,2,8,2,3,1,1,3
2021014083,1,1,1,2,2,1,2,2,2,1,2,2,2,5,9,3,3,98,3,1,3,8,2,3,1,1,3
2021014084,1,1,1,2,1,2,1,2,2,2,2,2,2,5,10,2,3,4,5,1,2,8,2,3,2,1,3
2021014085,1,1,1,2,98,1,2,2,1,2,2,2,2,5,3,2,3,4,4,2,3,6,2,3,2,1,2
2021014086,1,1,1,1,1,1,1,2,1,2,2,2,2,5,10,3,3,99,98,3,3,10,1,3,1,98,2
2021014090,1,1,1,2,2,2,2,2,2,2,2,2,2,4,5,3,1,1,3,3,3,7,2,3,1,1,1
2021014095,1,1,1,1,1,1,1,2,2,1,1,2,2,3,5,2,2,1,2,1,2,9,3,3,3,1,3
2021014107,1,1,1,1,1,1,1,2,1,2,2,2,2,5,7,2,2,4,3,3,3,7,1,3,2,1,2
2021014110,1,1,1,2,2,1,2,2,2,2,2,2,2,4,4,2,3,1,2,1,3,6,3,3,3,1,2
2021014122,1,1,1,98,98,2,1,2,1,2,2,98,98,2,2,2,1,3,2,1,2,6,2,3,2,1,1
2021014134,1,1,2,2,1,2,2,2,1,2,2,2,2,4,6,4,1,2,98,98,98,1,2,3,1,1,1
2021014144,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,98,3,98,3,98,98,10,3,3,1,98,2
2021014161,1,1,1,2,1,1,2,2,2,1,1,2,2,5,8,2,3,3,3,1,2,8,2,3,1,1,3
2021014170,1,1,1,2,1,1,2,2,2,2,2,2,2,5,10,2,2,3,3,1,2,7,1,3,1,1,2
2021014199,1,1,2,2,1,2,1,2,2,2,2,2,2,5,8,3,2,4,2,3,3,5,2,3,1,1,3
2021014214,1,1,1,2,1,2,2,2,2,2,2,2,2,5,9,3,1,4,3,1,2,7,3,3,1,1,3
2021014217,1,1,2,2,1,2,2,2,1,1,2,2,2,5,10,1,3,5,6,1,2,10,3,3,3,1,3
2021014227,1,1,1,2,2,1,2,2,2,2,2,2,2,5,8,2,3,2,98,1,2,10,2,2,1,1,2
2021014268,1,1,2,1,1,2,2,2,2,2,2,2,2,3,4,3,2,98,4,98,2,5,3,3,3,98,2
2021014276,1,1,1,2,1,1,2,1,1,1,2,2,98,3,5,3,1,3,2,1,98,2,2,3,1,98,3
2021014279,1,1,1,2,2,2,2,2,2,2,2,2,2,5,4,3,3,1,3,1,1,8,1,3,2,1,2
2021014318,1,1,1,2,1,2,1,2,1,1,2,2,2,2,9,1,2,6,5,1,2,9,2,3,1,2,3
2021014327,1,1,2,1,2,2,2,2,2,2,2,2,2,5,1,2,3,2,3,3,2,7,2,3,1,1,1
2021014358,1,1,1,2,2,1,1,2,1,1,1,2,1,5,8,3,3,1,2,1,2,7,3,3,2,98,3
2021014368,1,1,1,2,1,1,2,2,2,1,2,2,2,5,10,2,3,1,3,3,3,7,2,3,1,1,2
2021014379,1,1,2,2,1,2,2,2,2,2,2,2,2,5,7,3,1,3,3,3,3,7,3,3,1,1,1
2021014380,1,1,1,1,1,1,2,2,2,1,2,2,98,5,10,2,1,2,4,98,98,7,2,3,1,98,3
2021014403,1,1,2,1,1,1,2,2,2,1,2,2,2,5,9,3,1,3,4,1,3,9,2,3,1,1,2
2021014405,1,1,1,1,2,2,2,2,2,2,2,2,2,5,4,4,99,1,2,3,3,5,1,3,1,1,2
2021014424,1,1,1,1,1,2,2,2,1,2,2,2,2,5,9,3,1,4,3,3,98,8,3,3,1,1,1
2021014426,1,1,1,2,2,2,2,2,2,2,2,2,2,5,6,4,2,2,4,3,3,10,1,3,1,2,1
2021014458,1,1,1,2,2,2,2,2,2,2,2,2,2,98,2,3,3,1,3,98,3,7,2,2,1,98,1
2021014492,1,1,2,2,1,2,2,2,2,2,2,2,2,98,99,4,99,98,98,3,98,6,2,2,1,98,2
2021014497,1,1,1,2,1,2,2,2,2,2,2,2,2,4,3,3,3,1,3,3,3,8,3,2,1,2,1
2021014499,1,1,1,1,1,1,2,2,2,2,2,2,2,5,99,3,2,3,3,3,3,8,1,2,1,1,3
2021014509,1,1,1,2,2,2,2,2,2,2,2,2,2,2,8,4,1,1,98,1,2,6,2,3,1,1,1
2021014514,1,1,1,2,1,2,1,2,2,2,2,2,2,5,7,2,1,3,3,1,2,8,3,3,2,1,1
2021014516,1,1,1,2,1,2,2,2,2,2,2,2,2,5,8,3,2,2,3,3,3,7,1,3,1,2,1
2021014523,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,4,1,1,98,98,98,4,2,3,1,1,1
2021014537,1,1,1,2,2,1,2,1,2,2,2,2,2,3,4,2,1,2,3,3,3,8,3,3,1,1,1
2021014570,1,1,1,2,1,1,2,2,2,2,2,2,2,5,4,3,2,2,2,3,3,5,1,3,1,98,1
2021014587,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,3,2,1,98,98,1,7,3,3,2,1,1
2021014609,1,1,1,2,2,2,2,2,2,2,2,2,2,5,5,3,1,1,98,3,3,5,1,3,1,98,1
2021014613,1,1,98,1,1,2,1,2,2,2,2,2,2,5,98,2,1,98,98,3,3,6,3,3,1,1,2
2021014621,1,1,2,2,1,1,2,2,1,2,2,2,2,5,6,3,3,2,3,1,3,8,2,3,1,1,3
2021014631,1,1,1,1,2,2,2,2,1,1,98,2,2,5,6,3,3,2,3,1,2,8,2,3,2,1,3
2021014634,1,1,2,1,2,2,2,2,1,2,2,1,1,3,8,1,2,5,5,1,2,9,3,2,3,1,3
2021014639,1,1,1,1,1,1,2,2,2,1,2,2,2,5,7,2,3,4,3,1,3,8,1,3,2,1,3
2021014647,1,1,1,2,2,1,2,2,2,1,2,2,2,1,3,3,1,98,3,1,1,8,2,3,1,1,1
2021014648,1,1,1,1,1,2,2,2,1,2,2,2,2,4,1,3,1,98,98,3,3,3,2,2,1,1,1
2021014650,1,1,1,2,1,1,2,2,98,2,2,2,2,2,2,3,3,4,3,1,3,8,2,1,98,1,3
2021014651,1,1,1,2,2,1,2,2,1,2,2,2,2,5,6,3,3,1,4,1,2,9,3,3,1,2,2
2021014659,1,1,1,2,1,1,2,2,2,2,2,2,2,5,8,3,1,1,3,3,3,8,3,3,3,1,2
2021014665,1,1,2,1,1,2,2,2,2,2,2,2,2,5,7,4,2,4,2,1,2,7,1,1,1,1,2
2021014667,1,1,1,2,2,2,2,2,2,2,2,2,2,4,7,3,3,1,3,3,3,7,2,3,1,1,1
2021014686,1,1,2,1,1,2,98,1,1,2,1,1,1,4,6,1,3,5,4,2,2,9,3,3,3,1,1
2021014714,1,1,1,2,1,1,2,2,2,2,2,2,2,5,5,3,3,2,3,1,1,7,1,3,2,1,2
2021014743,1,1,1,2,1,1,1,2,2,1,2,2,2,5,8,2,3,3,6,1,3,8,2,3,2,1,3
2021014755,1,1,1,1,2,2,1,2,1,2,2,2,2,5,6,2,1,98,98,3,3,2,98,98,98,1,1
2021014758,1,1,1,2,98,1,1,2,2,98,2,2,2,5,5,2,2,4,3,1,2,7,2,3,1,1,3
2021014760,1,1,1,1,1,2,2,2,2,2,2,2,2,5,10,3,1,4,3,3,1,9,2,3,2,1,3
2021014761,1,1,1,98,2,2,2,98,2,2,2,2,2,1,1,2,3,1,3,1,2,1,3,2,2,1,2
2021014762,1,1,1,1,1,2,2,2,1,2,2,2,2,5,7,3,2,5,3,3,3,5,1,3,1,1,2
2021014790,1,1,2,2,1,2,2,2,1,2,2,2,2,5,5,3,3,2,3,3,3,8,2,3,1,1,2
2021014814,1,1,1,1,1,98,1,98,2,98,98,98,98,5,10,2,1,98,98,3,98,4,3,3,1,1,3
2021014853,1,1,1,1,1,1,2,2,1,1,1,1,2,5,10,3,1,5,3,3,3,10,2,3,1,1,3
2021014879,1,1,1,2,2,2,1,2,2,2,1,2,2,1,1,3,1,2,98,1,2,5,3,3,1,1,1
2021014898,1,1,1,2,2,2,2,2,1,2,2,2,2,5,8,3,1,3,4,1,3,7,2,3,1,2,2
2021014931,1,1,1,1,2,2,1,2,2,2,1,2,2,2,7,3,2,3,3,1,3,8,3,1,3,1,1
2021014943,1,1,2,1,2,2,2,2,2,2,2,2,2,5,2,2,1,1,2,3,3,4,2,3,1,1,2
2021014953,1,1,1,2,1,1,1,2,2,2,1,2,98,5,7,2,3,3,3,1,2,9,2,3,1,1,3
2021014963,1,1,1,2,1,1,2,2,2,1,2,2,2,3,2,2,3,2,4,3,1,7,2,3,1,1,1
2021014985,1,1,1,2,2,2,2,2,1,2,98,2,2,2,1,3,2,1,98,1,3,5,98,2,2,1,1
2021014994,1,1,1,98,1,98,98,98,2,98,1,98,98,5,1,2,3,98,98,1,2,5,2,3,3,1,1
2021014997,1,1,1,2,2,2,2,2,1,2,2,2,2,5,99,3,3,1,4,1,98,4,1,3,2,1,2
2021015013,1,1,1,1,1,2,1,2,1,2,2,2,2,5,8,2,3,2,5,1,1,7,2,2,2,1,2
2021015042,1,1,1,2,1,2,1,2,2,1,2,2,2,5,10,3,3,1,3,1,2,9,2,3,1,2,3
